year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Mar 2016,"2,243",-866,-849,528,ASIANPAINT
Mar 2017,"1,527",-681,-756,90,ASIANPAINT
Mar 2018,"2,113","-1,556","-1,379",-822,ASIANPAINT
Mar 2019,"2,470",-918,"-1,117",434,ASIANPAINT
Mar 2020,"3,038",-518,"-2,871",-351,ASIANPAINT
Mar 2021,"3,683",-541,-650,"2,492",ASIANPAINT
Mar 2022,986,-317,"-1,808","-1,138",ASIANPAINT
Mar 2011,"11,328","-13,894","8,770","6,203",AXISBANK
Mar 2012,"-9,904","-4,840","7,270","-7,474",AXISBANK
Mar 2013,"2,573","-10,939","14,931","6,566",AXISBANK
Mar 2014,"14,464","-14,166","7,785","8,082",AXISBANK
Mar 2015,"-15,162","-7,972","31,045","7,910",AXISBANK
Mar 2016,"-34,495","9,211","22,495","-2,789",AXISBANK
Mar 2017,"32,209","-12,458","-2,487","17,263",AXISBANK
Mar 2018,"-38,390","-10,007","41,342","-7,055",AXISBANK
Mar 2019,"37,125","-18,674","5,643","24,094",AXISBANK
Mar 2020,"30,416","-9,485","8,865","29,795",AXISBANK
Mar 2021,"12,633","-54,288","7,279","-34,375",AXISBANK
Mar 2022,"28,137","-27,112","47,894","48,919",AXISBANK
Mar 2011,"1,639",-627,-871,141,BAJAJ-AUTO
Mar 2012,"3,246",-850,"-1,462",934,BAJAJ-AUTO
Mar 2013,"2,218","-1,394","-1,445",-621,BAJAJ-AUTO
Mar 2014,"3,502","-2,072","-1,496",-66,BAJAJ-AUTO
Mar 2015,"2,114",-380,"-1,644",90,BAJAJ-AUTO
Mar 2016,"3,690",-68,"-3,384",238,BAJAJ-AUTO
Mar 2017,"3,267","-3,610",-190,-532,BAJAJ-AUTO
Mar 2018,"4,328","-1,954","-1,885",488,BAJAJ-AUTO
Mar 2019,"2,487",-273,"-2,074",140,BAJAJ-AUTO
Mar 2020,"3,850","1,766","-6,247",-630,BAJAJ-AUTO
Mar 2021,"3,120","-2,869",-20,231,BAJAJ-AUTO
Mar 2022,"4,197",276,"-4,056",417,BAJAJ-AUTO
Mar 2015,"-7,064",-360,"6,867",-557,BAJFINANCE
Mar 2016,"-9,870",-687,"11,656","1,100",BAJFINANCE
Mar 2017,"-10,439","-3,047","12,513",-972,BAJFINANCE
Mar 2018,"-20,566","1,075","19,503",13,BAJFINANCE
Mar 2019,"-29,062","-5,379","34,449",9,BAJFINANCE
Mar 2020,"-24,412","-8,758","34,167",998,BAJFINANCE
Mar 2021,-807,-429,"1,741",505,BAJFINANCE
Mar 2022,"-37,029","6,347","32,240","1,558",BAJFINANCE
Mar 2011,239,"-3,011","3,289",518,BAJAJFINSV
Mar 2012,"-3,849",-887,"3,803",-933,BAJAJFINSV
Mar 2013,"-6,922","2,953","4,592",623,BAJAJFINSV
Mar 2014,"-9,807","3,764","6,521",478,BAJAJFINSV
Mar 2015,"-10,731","3,709","6,839",-183,BAJAJFINSV
Mar 2016,"-9,795",-886,"11,602",921,BAJAJFINSV
Mar 2017,"-10,922",151,"12,513","1,742",BAJAJFINSV
Mar 2018,"-19,580",-922,"19,590",-911,BAJAJFINSV
Mar 2019,"-27,076","-6,903","34,535",555,BAJAJFINSV
Mar 2020,"-23,369","-9,948","34,479","1,162",BAJAJFINSV
Mar 2021,"4,547","-3,684","1,687","2,551",BAJAJFINSV
Mar 2022,"-33,670","1,445","32,326",101,BAJAJFINSV
Mar 2011,"3,676",-453,-177,"3,047",BPCL
Mar 2012,"1,907","-2,276","-4,379","-4,748",BPCL
Mar 2013,"5,926","-3,604",-846,"1,476",BPCL
Mar 2014,"9,588","-6,881","-3,736","-1,029",BPCL
Mar 2015,"20,742","-10,536","-9,792",414,BPCL
Mar 2016,"11,119","-9,233","-1,332",555,BPCL
Mar 2017,"9,041","-15,274","4,804","-1,429",BPCL
Mar 2018,"11,068","-7,066","-4,218",-215,BPCL
Mar 2019,"10,157","-10,451",207,-87,BPCL
Mar 2020,"7,881","-11,135","3,583",329,BPCL
Mar 2021,"23,455","-2,474","-13,981","7,000",BPCL
Mar 2022,"20,336","-8,138","-17,672","-5,474",BPCL
Mar 2011,"18,851","-60,462","39,715","-1,895",BHARTIARTL
Mar 2012,"22,593","-18,380","-4,011",203,BHARTIARTL
Mar 2013,"22,608","-18,676","-4,566",-634,BHARTIARTL
Mar 2014,"26,233","-25,181","2,774","3,826",BHARTIARTL
