year,share_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,symbol
Mar 2018,519,"109,080","944,817","48,770","1,103,186","4,008",0,"238,461","860,717","1,103,186",HDFCBANK
Mar 2019,545,"153,128","1,080,235","58,898","1,292,806","4,369",0,"289,446","998,991","1,292,806",HDFCBANK
Mar 2020,548,"175,810","1,333,041","71,430","1,580,830","4,776",0,"389,305","1,186,750","1,580,830",HDFCBANK
Mar 2021,551,"209,259","1,511,418","78,279","1,799,507","5,248",0,"438,823","1,355,435","1,799,507",HDFCBANK
Mar 2022,555,"246,772","1,784,970","90,639","2,122,934","6,432",0,"449,264","1,667,238","2,122,934",HDFCBANK
Mar 2011,"1,995","-1,514",0,"27,411","27,892",344,2,"26,451","1,094","27,892",HDFCLIFE
Mar 2012,"1,995","-1,140",0,"32,937","33,792",316,5,"32,148","1,323","33,792",HDFCLIFE
Mar 2013,"1,995",-657,0,"40,581","41,918",252,29,"40,405","1,232","41,918",HDFCLIFE
Mar 2014,"1,995",-66,0,"50,347","52,275",279,10,"50,529","1,457","52,275",HDFCLIFE
Mar 2015,"1,995",547,0,"66,767","69,309",345,6,"67,025","1,932","69,309",HDFCLIFE
Mar 2016,"1,995","1,113",0,"73,440","76,549",334,12,"74,230","1,972","76,549",HDFCLIFE
Mar 2017,"1,998","1,840",0,"91,267","95,106",337,16,"91,738","3,016","95,106",HDFCLIFE
Mar 2018,"2,012","2,706",0,"105,763","110,481",336,5,"106,603","3,537","110,481",HDFCLIFE
Mar 2019,"2,017","3,638",0,"124,350","130,005",323,10,"124,972","4,700","130,005",HDFCLIFE
Mar 2020,"2,019","4,776",0,"125,368","132,162",322,8,"127,226","4,606","132,162",HDFCLIFE
Mar 2021,"2,021","6,615",600,"170,346","179,582",327,13,"173,839","5,402","179,582",HDFCLIFE
Mar 2022,"2,113","13,370",600,"194,307","210,389",323,19,"204,170","5,876","210,389",HDFCLIFE
Sep 2022,"2,149","10,198",950,"218,802","232,099",365,0,"224,901","6,833","232,099",HDFCLIFE
Mar 2014,40,"5,583",284,"4,215","10,122","2,247",855,"4,106","2,914","10,122",HEROMOTOCO
Mar 2015,40,"6,500",100,"4,014","10,654","2,952",719,"3,118","3,864","10,654",HEROMOTOCO
Mar 2016,40,"8,794",232,"3,829","12,896","3,784",653,"4,501","3,958","12,896",HEROMOTOCO
Mar 2017,40,"10,276",261,"4,736","15,312","4,599",581,"6,066","4,066","15,312",HEROMOTOCO
Mar 2018,40,"11,932",228,"5,197","17,397","4,961",355,"7,669","4,411","17,397",HEROMOTOCO
Mar 2019,40,"13,080",312,"5,072","18,504","4,952",573,"6,114","6,865","18,504",HEROMOTOCO
Mar 2020,40,"14,366",453,"4,815","19,674","6,473",391,"8,359","4,451","19,674",HEROMOTOCO
Mar 2021,40,"15,376",584,"7,096","23,096","6,380",495,"10,582","5,639","23,096",HEROMOTOCO
Mar 2022,40,"15,807",605,"6,027","22,478","6,194",517,"10,528","5,240","22,478",HEROMOTOCO
Mar 2011,191,"28,832","29,437","26,409","84,870","32,405","9,252","10,855","32,358","84,870",HINDALCO
Mar 2012,191,"31,179","41,016","29,016","101,402","35,300","22,798","10,551","32,753","101,402",HINDALCO
Mar 2013,191,"34,597","56,951","28,850","120,590","37,929","33,834","12,601","36,226","120,590",HINDALCO
Mar 2014,206,"40,393","64,756","32,627","137,982","61,163","23,059","12,961","40,798","137,982",HINDALCO
Mar 2015,207,"38,122","68,468","34,950","141,746","71,959","14,111","12,346","43,330","141,746",HINDALCO
Mar 2016,205,"40,402","67,552","32,986","141,146","85,648","4,214","12,463","38,821","141,146",HINDALCO
Mar 2017,223,"45,832","63,817","36,272","146,144","84,687","1,814","15,157","44,486","146,144",HINDALCO
Mar 2018,223,"54,625","52,074","40,092","147,014","85,088","2,063","10,781","49,081","147,014",HINDALCO
Mar 2019,222,"57,275","52,415","42,060","151,972","85,860","4,097","9,012","53,003","151,972",HINDALCO
Mar 2020,222,"58,091","68,399","41,906","168,618","89,195","7,721","9,411","62,291","168,618",HINDALCO
Mar 2021,222,"66,307","67,206","55,087","188,822","100,269","10,202","17,133","61,218","188,822",HINDALCO
Mar 2022,222,"77,965","64,486","79,182","221,855","106,874","4,945","14,119","95,917","221,855",HINDALCO
Mar 2011,216,"2,519",0,"7,613","10,348","2,223",289,"1,188","6,647","10,348",HINDUNILVR
Mar 2012,216,"3,465",0,"7,726","11,407","2,263",228,"2,322","6,595","11,407",HINDUNILVR
Mar 2013,216,"2,649",25,"9,202","12,092","2,431",222,"2,252","7,186","12,092",HINDUNILVR
Mar 2014,216,"3,321",46,"10,171","13,754","2,746",373,"2,838","7,797","13,754",HINDUNILVR
Mar 2015,216,"3,811",43,"10,359","14,430","2,821",516,"3,025","8,067","14,430",HINDUNILVR
Mar 2016,216,"6,357",177,"8,043","14,793","3,258",408,"2,592","8,535","14,793",HINDUNILVR
Mar 2017,216,"6,528",277,"8,685","15,706","4,419",229,"3,794","7,264","15,706",HINDUNILVR
Mar 2018,216,"7,065",0,"10,581","17,862","4,528",461,"2,873","10,000","17,862",HINDUNILVR
Mar 2019,216,"7,651",99,"10,663","18,629","4,715",406,"2,716","10,792","18,629",HINDUNILVR
Mar 2020,216,"8,013",0,"11,924","20,153","5,479",597,"1,255","12,822","20,153",HINDUNILVR
Mar 2021,235,"47,439","1,009","20,057","68,740","51,443",745,"2,709","13,843","68,740",HINDUNILVR
Mar 2022,235,"48,826","1,043","20,402","70,506","51,473","1,313","3,521","14,199","70,506",HINDUNILVR
Sep 2022,235,"49,364","1,139","21,198","71,936","51,909","1,129","3,538","15,360","71,936",HINDUNILVR
Mar 2011,465,"25,118","222,938","29,442","277,963","2,201",0,"70,277","205,485","277,963",HDFC
Mar 2012,469,"29,741","272,874","37,971","341,055","2,378",0,"96,795","241,882","341,055",HDFC
Mar 2013,476,"36,167","335,588","35,492","407,723","2,773",0,"110,960","293,989","407,723",HDFC
Mar 2014,480,"43,687","416,677","42,776","503,620","3,026",0,"119,571","381,023","503,620",HDFC
Mar 2015,501,"62,653","509,762","34,181","607,097","3,225",0,"149,454","454,417","607,097",HDFC
Mar 2016,506,"73,798","649,587","38,321","762,212","3,667",0,"193,634","564,912","762,212",HDFC
Mar 2017,513,"91,281","741,550","59,000","892,344","4,000",0,"210,777","677,567","892,344",HDFC
Mar 2018,519,"109,080","944,817","48,770","1,103,186","4,008",0,"238,461","860,717","1,103,186",HDFC
Mar 2019,545,"153,128","1,080,235","58,898","1,292,806","4,369",0,"289,446","998,991","1,292,806",HDFC
Mar 2020,548,"175,810","1,333,041","71,430","1,580,830","4,776",0,"389,305","1,186,750","1,580,830",HDFC
Mar 2021,551,"209,259","1,511,418","78,279","1,799,507","5,248",0,"438,823","1,355,435","1,799,507",HDFC
Mar 2022,555,"246,772","1,784,970","90,639","2,122,934","6,432",0,"449,264","1,667,238","2,122,934",HDFC
Mar 2011,"1,152","54,150","384,945","93,521","533,768","5,490",0,"209,653","318,626","533,768",ICICIBANK
Mar 2012,"1,153","60,121","443,247","114,766","619,287","5,432",0,"239,864","373,991","619,287",ICICIBANK
Mar 2013,"1,154","67,604","487,659","118,405","674,822","5,473",0,"255,667","413,682","674,822",ICICIBANK
Mar 2014,"1,155","75,268","543,055","128,284","747,762","5,507",0,"267,609","474,646","747,762",ICICIBANK
Mar 2015,"1,160","83,537","597,207","144,175","826,079","5,871",0,"274,311","545,897","826,079",ICICIBANK
Mar 2016,"1,163","92,941","671,455","153,197","918,756","8,713",0,"286,044","623,999","918,756",ICICIBANK
Mar 2017,"1,165","103,461","700,874","180,225","985,725","9,338",0,"304,373","672,013","985,725",ICICIBANK
Mar 2018,"1,286","109,338","815,198","198,459","1,124,281","9,465",0,"372,208","742,608","1,124,281",ICICIBANK
Mar 2019,"1,289","112,959","891,641","232,904","1,238,794","9,660",0,"398,201","830,933","1,238,794",ICICIBANK
Mar 2020,"1,295","121,662","1,014,636","239,699","1,377,292","10,409",0,"443,473","923,411","1,377,292",ICICIBANK
Mar 2021,"1,383","156,201","1,103,840","312,388","1,573,812","10,917",0,"536,579","1,026,317","1,573,812",ICICIBANK
Mar 2022,"1,390","180,396","1,252,968","317,883","1,752,637","10,707",0,"567,098","1,174,833","1,752,637",ICICIBANK
Mar 2011,774,"15,716",125,"9,777","26,391","9,172","1,368","4,868","10,984","26,391",ITC
Mar 2012,782,"18,677",118,"10,509","30,085","10,007","2,396","5,207","12,475","30,085",ITC
Mar 2013,790,"22,368",102,"12,069","35,329","12,140","2,062","5,981","15,146","35,329",ITC
Mar 2014,795,"26,442",242,"13,369","40,848","12,921","3,117","7,284","17,526","40,848",ITC
Mar 2015,802,"30,934",269,"13,948","45,952","15,303","2,700","6,943","21,006","45,952",ITC
Mar 2016,805,"41,875",84,"8,888","51,651","15,107","2,560","11,748","22,237","51,651",ITC
Mar 2017,"1,215","45,198",46,"9,440","55,898","15,893","3,730","17,581","18,694","55,898",ITC
Mar 2018,"1,220","51,290",36,"11,695","64,241","16,524","5,508","22,053","20,156","64,241",ITC
Mar 2019,"1,226","57,915",13,"12,585","71,739","19,374","4,136","25,043","23,185","71,739",ITC
Mar 2020,"1,229","64,044",277,"11,760","77,311","21,713","3,256","28,663","23,678","77,311",ITC
Mar 2021,"1,231","59,116",271,"13,143","73,761","23,298","4,011","24,871","21,580","73,761",ITC
Mar 2022,"1,232","61,223",249,"14,491","77,196","24,232","3,226","24,841","24,898","77,196",ITC
Sep 2022,"1,240","64,384",253,"16,281","82,157","25,046","3,319","24,834","28,958","82,157",ITC
Mar 2011,466,"3,576","39,891","1,703","45,636",572,24,"13,551","31,489","45,636",INDUSINDBK
Mar 2012,468,"4,263","51,044","1,822","57,596",614,43,"14,572","42,367","57,596",INDUSINDBK
Mar 2013,523,"7,097","63,576","2,111","73,307",741,16,"19,654","52,896","73,307",INDUSINDBK
Mar 2014,526,"8,506","75,264","2,730","87,026",991,25,"21,563","64,447","87,026",INDUSINDBK
Mar 2015,529,"10,101","94,752","6,404","111,787","1,120",38,"22,878","87,751","111,787",INDUSINDBK
Mar 2016,595,"17,087","117,996","7,219","142,897","1,218",37,"34,054","107,587","142,897",INDUSINDBK
Mar 2017,598,"20,033","149,026","8,992","178,648","1,307",28,"36,702","140,611","178,648",INDUSINDBK
Mar 2018,600,"23,227","189,928","7,871","221,626","1,313",25,"50,077","170,211","221,626",INDUSINDBK
Mar 2019,603,"26,072","242,189","8,956","277,819","1,688",22,"59,266","216,843","277,819",INDUSINDBK
Mar 2020,694,"33,330","262,793","10,241","307,058","1,742",78,"59,980","245,257","307,058",INDUSINDBK
Mar 2021,773,"42,587","307,528","12,085","362,973","1,734",75,"69,695","291,469","362,973",INDUSINDBK
Mar 2022,775,"46,906","341,005","13,289","401,975","1,754",95,"70,971","329,155","401,975",INDUSINDBK
Mar 2011,286,"25,690",0,"5,317","31,293","5,235",264,144,"25,650","31,293",INFY
Mar 2012,286,"31,046",0,"7,025","38,357","5,555",590,372,"31,840","38,357",INFY
Mar 2013,286,"37,708",0,"8,281","46,275","7,139","1,140","2,116","35,880","46,275",INFY
Mar 2014,286,"44,244",0,"12,436","56,966","8,378",961,"4,331","43,296","56,966",INFY
Mar 2015,572,"50,164",0,"15,553","66,289","11,346",776,"2,270","51,897","66,289",INFY
Mar 2016,"1,144","60,600",0,"13,354","75,098","13,386",960,"1,892","58,860","75,098",INFY
Mar 2017,"1,144","67,838",0,"14,166","83,148","14,179","1,365","16,423","51,181","83,148",INFY
Mar 2018,"1,088","63,835",0,"14,426","79,349","12,574","1,606","12,163","53,006","79,349",INFY
Mar 2019,"2,170","62,778",0,"19,118","84,066","15,710","1,388","11,261","55,707","84,066",INFY
Mar 2020,"2,122","63,328","4,633","21,717","91,800","23,789",954,"8,792","58,265","91,800",INFY
Mar 2021,"2,124","74,227","5,325","25,835","107,511","25,505",922,"14,205","66,879","107,511",INFY
Mar 2022,"2,098","73,252","5,474","35,905","116,729","25,800",416,"20,324","70,189","116,729",INFY
Sep 2022,"2,099","77,882","6,522","40,728","127,231","27,264",402,"24,448","75,117","127,231",INFY
Mar 2011,563,"15,437","16,476","13,691","45,888","26,904","6,023","2,914","10,048","45,888",JSWSTEEL
Mar 2012,563,"16,186","19,909","17,543","53,922","33,812","2,832","2,090","15,189","53,922",JSWSTEEL
Mar 2013,563,"16,781","21,346","19,102","57,513","34,717","5,898","1,750","15,148","57,513",JSWSTEEL
Mar 2014,"1,067","20,871","34,762","21,704","77,640","47,046","9,400",663,"20,531","77,640",JSWSTEEL
Mar 2015,"1,067","21,987","37,990","25,374","85,654","52,176","8,265",599,"24,613","85,654",JSWSTEEL
Mar 2016,301,"18,665","42,204","20,737","81,907","56,140","7,271","1,195","17,302","81,907",JSWSTEEL
Mar 2017,301,"22,346","43,334","22,024","88,005","58,730","4,363","1,366","23,546","88,005",JSWSTEEL
Mar 2018,510,"27,696","39,185","24,787","91,970","57,848","5,950","1,469","26,703","91,970",JSWSTEEL
Mar 2019,321,"34,494","47,376","32,626","114,797","62,644","11,889","1,894","38,370","114,797",JSWSTEEL
Mar 2020,325,"36,298","61,399","33,822","131,820","62,085","27,191","1,259","41,285","131,820",JSWSTEEL
Mar 2021,328,"45,308","66,701","34,852","147,163","64,917","32,566","7,427","42,253","147,163",JSWSTEEL
Mar 2022,330,"66,996","72,208","56,980","196,485","99,880","16,905","4,940","74,760","196,485",JSWSTEEL
Sep 2022,301,"61,706","77,737","56,735","196,479","101,422","18,907","5,087","71,063","196,479",JSWSTEEL
Mar 2011,368,"10,595","49,386","13,308","73,657",600,0,"26,049","47,008","73,657",KOTAKBANK
Mar 2012,370,"12,531","65,655","13,766","92,323",615,0,"31,658","60,049","92,323",KOTAKBANK
Mar 2013,373,"14,876","85,561","15,024","115,835",620,0,"40,907","74,308","115,835",KOTAKBANK
Mar 2014,385,"18,691","85,937","17,184","122,197","1,264",0,"38,791","82,142","122,197",KOTAKBANK
Mar 2015,386,"21,767","104,258","22,052","148,464","1,385",0,"45,589","101,490","148,464",KOTAKBANK
Mar 2016,917,"32,443","179,679","27,764","240,804","1,761",0,"70,274","168,769","240,804",KOTAKBANK
Mar 2017,920,"37,570","205,230","32,467","276,188","1,759",0,"68,462","205,967","276,188",KOTAKBANK
Mar 2018,953,"49,533","249,840","37,395","337,720","2,543",0,"90,977","244,201","337,720",KOTAKBANK
Mar 2019,"1,454","56,825","291,263","46,128","395,171","2,697",0,"103,487","288,987","395,171",KOTAKBANK
Mar 2020,"1,457","65,678","325,977","50,562","443,173","2,675",0,"111,197","329,301","443,173",KOTAKBANK
Mar 2021,"1,491","83,346","326,610","67,907","478,854","2,554",0,"156,946","319,355","478,854",KOTAKBANK
Mar 2022,"1,492","95,642","365,235","84,629","546,498","2,723",0,"164,529","379,245","546,498",KOTAKBANK
Mar 2011,122,"24,929","37,216","32,447","94,713","15,624","12,362","9,216","57,511","94,713",LT
Mar 2012,122,"29,264","51,568","38,228","119,182","19,403","14,913","8,789","76,076","119,182",LT
Mar 2013,123,"33,737","63,144","45,924","142,928","30,389","11,351","8,768","92,421","142,928",LT
Mar 2014,185,"37,526","80,846","50,324","168,881","32,397","14,179","8,109","114,197","168,881",LT
Mar 2015,186,"40,723","93,630","58,727","193,266","34,738","14,993","9,612","133,923","193,266",LT
Mar 2016,"1,499","43,994","86,822","63,088","194,091","14,176","10,974","15,465","153,475","194,091",LT
Mar 2017,"1,334","49,877","92,807","68,700","211,571","16,677","13,298","19,753","161,843","211,571",LT
Mar 2018,"1,186","54,466","106,619","81,874","243,240","18,580","13,443","15,311","195,905","243,240",LT
Mar 2019,"1,257","61,941","124,579","91,236","278,036","21,194","13,919","20,907","222,016","278,036",LT
Mar 2020,"1,685","66,442","141,770","98,194","306,687","43,653","3,311","20,047","239,675","306,687",LT
Mar 2021,"1,405","75,588","133,505","100,721","310,095","44,319",500,"39,627","225,649","310,095",LT
Mar 2022,497,"82,127","125,292","111,310","319,010","42,737","1,250","39,603","235,420","319,010",LT
Mar 2011,294,"13,990","17,047","19,005","50,337","14,708","1,408","4,714","29,506","50,337",M&M
Mar 2012,295,"16,409","23,121","23,623","63,448","17,198","1,488","5,347","39,414","63,448",M&M
Mar 2013,295,"19,666","28,711","27,460","76,131","18,307","1,631","6,440","49,752","76,131",M&M
Mar 2014,295,"23,012","35,167","29,415","87,889","18,381","2,191","8,082","59,234","87,889",M&M
Mar 2015,296,"25,561","37,911","30,608","94,376","19,047","3,032","10,027","62,270","94,376",M&M
Mar 2016,270,"26,222","41,553","31,806","99,852","20,585","2,371","11,603","65,293","99,852",M&M
Mar 2017,271,"29,467","48,762","35,296","113,835","20,989","4,279","14,662","73,905","113,835",M&M
Mar 2018,543,"36,232","55,898","43,696","136,369","26,182","4,269","16,018","89,900","136,369",M&M
Mar 2019,544,"39,439","70,848","51,057","161,889","28,983","4,760","18,268","109,878","161,889",M&M
Mar 2020,554,"39,415","82,092","43,655","165,716","29,689","6,856","19,210","109,960","165,716",M&M
Mar 2021,555,"41,027","80,625","42,762","164,968","21,380","7,873","28,778","106,938","164,968",M&M
Mar 2022,556,"46,567","77,605","47,661","172,388","26,018","6,703","30,060","109,607","172,388",M&M
Mar 2011,144,"14,164",454,"4,344","19,106","5,672",879,"5,439","7,116","19,106",MARUTI
Mar 2012,144,"15,530","1,421","6,004","23,099","7,746",943,"6,545","7,866","23,099",MARUTI
Mar 2013,151,"18,877","1,569","6,920","27,517","10,022","1,966","7,421","8,107","27,517",MARUTI
Mar 2014,151,"21,345","2,004","7,975","31,476","11,034","2,640","10,527","7,275","31,476",MARUTI
Mar 2015,151,"24,167",666,"9,492","34,477","12,490","1,890","13,298","6,800","34,477",MARUTI
Mar 2016,151,"30,465",231,"11,879","42,726","12,530","1,007","20,676","8,513","42,726",MARUTI
Mar 2017,151,"36,924",484,"14,402","51,960","13,311","1,252","29,151","8,247","51,960",MARUTI
Mar 2018,151,"42,408",121,"17,568","60,248","13,389","2,132","36,123","8,604","60,248",MARUTI
Mar 2019,151,"46,941",160,"16,717","63,969","15,437","1,607","37,504","9,421","63,969",MARUTI
Mar 2020,151,"49,262",184,"14,031","63,628","15,744","1,415","37,488","8,980","63,628",MARUTI
Mar 2021,151,"52,350",541,"18,335","71,376","14,989","1,497","42,945","11,946","71,376",MARUTI
Mar 2022,151,"55,182",426,"18,896","74,656","13,747","2,936","42,035","15,937","74,656",MARUTI
Mar 2011,"8,245","60,198","50,754","17,414","136,612","44,864","41,092","8,357","42,299","136,612",NTPC
Mar 2012,"8,245","66,157","59,804","21,049","155,255","51,131","50,398","6,545","47,180","155,255",NTPC
Mar 2013,"8,245","72,995","70,419","27,116","178,776","71,833","46,555","4,923","55,465","178,776",NTPC
Mar 2014,"8,245","79,084","81,455","31,334","200,118","84,208","53,825","3,300","58,785","200,118",NTPC
Mar 2015,"8,245","73,849","102,252","35,366","219,712","91,853","67,555","1,902","58,403","219,712",NTPC
Mar 2016,"8,245","83,330","99,424","33,666","224,665","92,929","75,046","6,473","50,217","224,665",NTPC
Mar 2017,"8,245","89,593","113,773","36,990","248,601","104,532","86,896","7,614","49,560","248,601",NTPC
Mar 2018,"8,245","95,318","130,049","48,880","282,492","128,245","83,386","8,876","61,985","282,492",NTPC
Mar 2019,"9,895","101,462","173,058","62,509","346,923","150,985","118,397","8,132","69,409","346,923",NTPC
Mar 2020,"9,895","108,945","202,984","55,746","377,569","187,803","98,508","9,307","81,951","377,569",NTPC
Mar 2021,"9,697","116,042","210,208","62,075","398,022","203,245","97,506","10,589","86,681","398,022",NTPC
Mar 2022,"9,697","125,677","210,707","69,671","415,752","224,923","91,126","10,626","89,076","415,752",NTPC
Dec 2010,96,759,0,"1,703","2,558","1,013",349,151,"1,046","2,558",NESTLEIND
Dec 2011,96,"1,178",971,"2,157","4,402","1,576","1,372",134,"1,320","4,402",NESTLEIND
Dec 2012,96,"1,702","1,050","2,315","5,164","3,204",344,365,"1,251","5,164",NESTLEIND
Dec 2013,96,"2,272","1,189","2,756","6,314","3,369",295,851,"1,799","6,314",NESTLEIND
Dec 2014,96,"2,741",20,"2,963","5,820","3,177",245,812,"1,586","5,820",NESTLEIND
Dec 2015,96,"2,721",18,"3,251","6,086","2,898",231,"1,325","1,633","6,086",NESTLEIND
Dec 2016,96,"3,186",33,"3,495","6,810","2,730",188,"1,756","2,136","6,810",NESTLEIND
Dec 2017,96,"3,324",35,"3,907","7,363","2,616",94,"1,979","2,673","7,363",NESTLEIND
Dec 2018,96,"3,577",35,"4,379","8,088","2,401",105,"2,658","2,924","8,088",NESTLEIND
Dec 2019,96,"1,822",189,"5,065","7,173","2,341",143,"1,751","2,937","7,173",NESTLEIND
Dec 2020,96,"1,923",147,"5,733","7,900","2,179",639,"1,464","3,618","7,900",NESTLEIND
Dec 2021,96,"1,988",266,"5,860","8,210","2,994",246,774,"4,196","8,210",NESTLEIND
Jun 2022,96,"2,232",280,"6,007","8,616","3,054",197,809,"4,556","8,616",NESTLEIND
Mar 2011,"4,278","111,049","6,704","71,495","193,527","35,859","34,760","3,100","119,808","193,527",ONGC
Mar 2012,"4,278","132,161","15,973","79,771","232,183","38,542","49,698","2,921","141,022","232,183",ONGC
Mar 2013,"4,278","148,250","20,686","80,211","253,424","49,104","53,385","2,128","148,807","253,424",ONGC
Mar 2014,"4,278","167,874","49,113","103,711","324,976","64,655","72,034","4,746","183,541","324,976",ONGC
Mar 2015,"4,278","176,177","53,944","103,448","337,847","88,928","63,393","4,749","180,776","337,847",ONGC
Mar 2016,"4,278","193,536","45,500","98,459","341,772","46,385","57,668","33,387","204,332","341,772",ONGC
Mar 2017,"6,417","187,969","80,029","170,111","444,525","81,510","59,042","70,746","233,227","444,525",ONGC
Mar 2018,"6,417","197,602","106,550","148,664","459,232","82,970","61,512","67,335","247,416","459,232",ONGC
Mar 2019,"6,290","210,644","107,742","167,667","492,343","86,011","69,056","66,909","270,367","492,343",ONGC
Mar 2020,"6,290","198,814","129,473","173,787","508,364","103,848","83,832","56,755","263,929","508,364",ONGC
Mar 2021,"6,290","214,691","133,187","187,580","541,748","104,466","100,309","60,320","276,653","541,748",ONGC
Mar 2022,"6,290","253,213","121,986","201,830","583,319","111,050","106,719","66,642","298,907","583,319",ONGC
Mar 2011,"4,630","16,788","41,612","14,632","77,662","38,040","24,076",952,"14,595","77,662",POWERGRID
Mar 2012,"4,630","18,953","54,355","14,194","92,133","48,415","28,886",774,"14,058","92,133",POWERGRID
Mar 2013,"4,630","21,773","69,233","17,748","113,384","62,568","35,265",586,"14,964","113,384",POWERGRID
Mar 2014,"5,232","29,466","84,220","22,562","141,480","74,252","50,069",423,"16,736","141,480",POWERGRID
Mar 2015,"5,232","33,207","96,243","26,102","160,784","91,191","53,681",220,"15,693","160,784",POWERGRID
Mar 2016,"5,232","38,738","108,545","26,797","179,312","115,094","45,611",919,"17,688","179,312",POWERGRID
Mar 2017,"5,232","44,634","118,988","26,809","195,662","137,678","38,264","1,165","18,555","195,662",POWERGRID
Mar 2018,"5,232","49,194","131,503","39,425","225,354","156,198","37,669","1,224","30,264","225,354",POWERGRID
Mar 2019,"5,232","53,857","146,376","41,916","247,380","172,740","37,631","1,296","35,713","247,380",POWERGRID
Mar 2020,"5,232","59,464","148,270","43,706","256,671","181,112","35,177","1,431","38,951","256,671",POWERGRID
Mar 2021,"5,232","64,704","143,232","42,539","255,708","183,726","24,838","1,486","45,659","255,708",POWERGRID
Mar 2022,"6,975","69,272","134,696","40,008","250,950","191,773","12,854","3,788","42,536","250,950",POWERGRID
Mar 2011,"1,000",630,0,"39,615","41,244",280,3,"39,625","1,336","41,244",SBILIFE
Mar 2012,"1,000","1,156",0,"46,085","48,240",263,2,"44,778","3,198","48,240",SBILIFE
Mar 2013,"1,000","1,736",0,"50,978","53,714",283,3,"50,047","3,382","53,714",SBILIFE
Mar 2014,"1,000","2,356",0,"57,284","60,640",304,4,"56,275","4,058","60,640",SBILIFE
Mar 2015,"1,000","3,056",0,"70,064","74,121",292,7,"69,385","4,437","74,121",SBILIFE
Mar 2016,"1,000","3,733",0,"78,696","83,429",301,146,"77,843","5,139","83,429",SBILIFE
Mar 2017,"1,000","4,552",0,"96,687","102,240",507,31,"95,830","5,871","102,240",SBILIFE
Mar 2018,"1,000","5,528",0,"115,193","121,720",511,70,"114,436","6,703","121,720",SBILIFE
Mar 2019,"1,000","6,576",0,"139,157","146,734",563,32,"139,325","6,814","146,734",SBILIFE
Mar 2020,"1,000","7,743",0,"156,837","165,580",568,13,"158,813","6,186","165,580",SBILIFE
Mar 2021,"1,000","9,400",0,"216,430","226,830",564,1,"218,756","7,509","226,830",SBILIFE
Mar 2022,"1,000","10,622",0,"261,715","273,337",524,3,"264,832","7,978","273,337",SBILIFE
Sep 2022,"1,001","11,215",0,"276,224","288,440",525,0,"279,704","8,211","288,440",SBILIFE
Mar 2011,635,"82,836","1,398,033","166,272","1,647,777","6,141",346,"419,066","1,222,223","1,647,777",SBIN
Mar 2012,671,"105,559","1,572,681","150,720","1,829,631","7,027",381,"460,949","1,361,274","1,829,631",SBIN
Mar 2013,684,"124,349","1,831,126","176,355","2,132,514","8,694",676,"519,343","1,603,801","2,132,514",SBIN
Mar 2014,747,"146,624","2,062,612","185,573","2,395,556","10,223",337,"579,401","1,805,595","2,395,556",SBIN
Mar 2015,747,"160,641","2,297,624","240,149","2,699,161","12,924",400,"673,507","2,012,329","2,699,161",SBIN
Mar 2016,776,"179,816","2,615,257","276,472","3,072,321","15,415",786,"807,375","2,248,746","3,072,321",SBIN
Mar 2017,797,"216,395","2,936,176","288,391","3,441,760","51,189",695,"1,027,281","2,362,594","3,441,760",SBIN
Mar 2018,892,"229,429","3,091,258","294,860","3,616,439","40,301",925,"1,183,794","2,391,419","3,616,439",SBIN
Mar 2019,892,"233,603","3,354,289","299,676","3,888,460","39,941",762,"1,119,270","2,728,487","3,888,460",SBIN
Mar 2020,892,"250,168","3,607,061","339,364","4,197,486","39,608",470,"1,228,284","2,929,123","4,197,486",SBIN
Mar 2021,892,"274,669","4,149,127","420,926","4,845,615","41,600",116,"1,595,100","3,208,798","4,845,615",SBIN
Mar 2022,892,"304,696","4,536,570","518,719","5,360,878","41,032",28,"1,776,490","3,543,328","5,360,878",SBIN
Mar 2011,104,"9,380",426,"2,329","12,238","3,293",235,"2,230","6,480","12,238",SUNPHARMA
Mar 2012,104,"12,132",321,"3,762","16,319","3,951",345,"2,213","9,810","16,319",SUNPHARMA
Mar 2013,104,"14,886",260,"5,128","20,377","5,647",563,"2,412","11,756","20,377",SUNPHARMA
Mar 2014,207,"18,318","2,561","8,009","29,095","6,817",842,"2,786","18,650","29,095",SUNPHARMA
Mar 2015,207,"25,383","8,996","14,137","48,723","12,682","2,039","2,716","31,286","48,723",SUNPHARMA
Mar 2016,241,"32,741","8,497","13,949","55,428","15,872","2,175","1,830","35,550","55,428",SUNPHARMA
Mar 2017,240,"36,400","9,832","14,624","61,095","17,675","2,801","1,192","39,427","61,095",SUNPHARMA
Mar 2018,240,"38,074","10,385","15,598","64,297","18,853","2,465","7,143","35,837","64,297",SUNPHARMA
Mar 2019,240,"41,169","10,514","12,666","64,590","21,837","1,411","7,903","33,439","64,590",SUNPHARMA
Mar 2020,240,"45,025","8,315","14,615","68,194","22,847","1,220","10,143","33,984","68,194",SUNPHARMA
Mar 2021,240,"46,223","3,869","17,291","67,622","21,553","1,567","9,612","34,890","67,622",SUNPHARMA
Mar 2022,240,"47,771","1,290","20,466","69,768","22,460","1,287","12,849","33,173","69,768",SUNPHARMA
Mar 2011,62,"3,895","1,041","2,766","7,764","3,771",31,587,"3,375","7,764",TATACONSUM
